################################
# DATA CONSIDERED FOR THE TESTS#
################################

# elastic momentum transfer constant rate coefficient = 1.000000e-12 (m3s-1)
#                                     gas temperature = 300.000000 (K)
#                           mass of the heavy species = 40.000000 (uam)
#               decades of decay ensured for the eedf = 15 
#                 number of cells for the energy grid = 3400 

E/N(Td)              Te_th(eV)            Te_sim(eV)           RelError(Te)         RelError(EEDF)
0.00000000000000e+00 2.58519910116516e-02 2.58499582500793e-02 7.86307550323417e-05 1.36208566071545e-04 
1.00000000000000e+00 3.01268347033801e-02 3.01244681544142e-02 7.85528579143102e-05 1.35940102136222e-04 
2.00000000000000e+00 4.29513657785653e-02 4.29480013896609e-02 7.83301961056873e-05 1.35174140535479e-04 
3.00000000000000e+00 6.43255842372075e-02 6.43205332733507e-02 7.85218496912930e-05 1.35833295420411e-04 
4.00000000000000e+00 9.42494900793065e-02 9.42420637781702e-02 7.87940723077084e-05 1.36772239558126e-04 
5.00000000000000e+00 1.32723083304862e-01 1.32712663510367e-01 7.85077790225274e-05 1.35784832730271e-04 
6.00000000000000e+00 1.79746363913875e-01 1.79732226585681e-01 7.86515392366923e-05 1.36280224071054e-04 
7.00000000000000e+00 2.35319331906345e-01 2.35300823580791e-01 7.86519552117500e-05 1.36281659492738e-04 
8.00000000000000e+00 2.99441987282271e-01 2.99418595499486e-01 7.81179119110534e-05 1.34445812567565e-04 
9.00000000000000e+00 3.72114330041654e-01 3.72084907429208e-01 7.90687433158311e-05 1.37722839275839e-04 
1.00000000000000e+01 4.53336360184494e-01 4.53300570970386e-01 7.89462687124287e-05 1.37298583670267e-04 
1.10000000000000e+01 5.43108077710791e-01 5.43065233114266e-01 7.88877910003264e-05 1.37096244486612e-04 
1.20000000000000e+01 6.41429482620545e-01 6.41378893860068e-01 7.88687795741234e-05 1.37030463183667e-04 
1.30000000000000e+01 7.48300574913756e-01 7.48241906178978e-01 7.84026322369576e-05 1.35423116194020e-04 
1.40000000000000e+01 8.63721354590423e-01 8.63653564236032e-01 7.84863706690930e-05 1.35711110114245e-04 
1.50000000000000e+01 9.87691821650547e-01 9.87614220909671e-01 7.85677669648033e-05 1.35991459525414e-04 
1.60000000000000e+01 1.12021197609413e+00 1.12012387622665e+00 7.86457111324780e-05 1.36260134939463e-04 
1.70000000000000e+01 1.26128181792117e+00 1.26118253013625e+00 7.87197464566043e-05 1.36515604369418e-04 
1.80000000000000e+01 1.41090134713166e+00 1.41079053557193e+00 7.85395520086617e-05 1.35894248027264e-04 
1.90000000000000e+01 1.56907056372561e+00 1.56894718679942e+00 7.86305785386341e-05 1.36207973295242e-04 
