################################
# DATA CONSIDERED FOR THE TESTS#
################################

# elastic momentum transfer constant rate coefficient = 1.000000e-12 (m3s-1)
#                                     gas temperature = 300.000000 (K)
#                           mass of the heavy species = 40.000000 (uam)
#               decades of decay ensured for the eedf = 15 
#                 number of cells for the energy grid = 2500 

E/N(Td)              Te_th(eV)            Te_sim(eV)           RelError(Te)         RelError(EEDF)
0.00000000000000e+00 2.58519910116516e-02 2.58487132976370e-02 1.26787681968394e-04 2.51915401956595e-04 
1.00000000000000e+00 3.01268347033801e-02 3.01230187920207e-02 1.26661542672308e-04 2.51418919461728e-04 
2.00000000000000e+00 4.29513657785653e-02 4.29459409783953e-02 1.26300993500710e-04 2.50002399491833e-04 
3.00000000000000e+00 6.43255842372075e-02 6.43174398895885e-02 1.26611327600908e-04 2.51221403924038e-04 
4.00000000000000e+00 9.42494900793065e-02 9.42375154812452e-02 1.27052125705816e-04 2.52957795392002e-04 
5.00000000000000e+00 1.32723083304862e-01 1.32706282084424e-01 1.26588533207124e-04 2.51131770617358e-04 
6.00000000000000e+00 1.79746363913875e-01 1.79723568239906e-01 1.26821335756945e-04 2.52047943235077e-04 
7.00000000000000e+00 2.35319331906345e-01 2.35289488238966e-01 1.26821996037370e-04 2.52050543718434e-04 
8.00000000000000e+00 2.99441987282271e-01 2.99404270397838e-01 1.25957233904670e-04 2.48655425447348e-04 
9.00000000000000e+00 3.72114330041654e-01 3.72066886608050e-01 1.27496927084031e-04 2.54715808679109e-04 
1.00000000000000e+01 4.53336360184494e-01 4.53278651107340e-01 1.27298584942003e-04 2.53931167456165e-04 
1.10000000000000e+01 5.43108077710791e-01 5.43038992241216e-01 1.27203907307485e-04 2.53557031954581e-04 
1.20000000000000e+01 6.41429482620545e-01 6.41347910037314e-01 1.27173111684697e-04 2.53435394345218e-04 
1.30000000000000e+01 7.48300574913756e-01 7.48205976044168e-01 1.26418277305919e-04 2.50462759625253e-04 
1.40000000000000e+01 8.63721354590423e-01 8.63612047319549e-01 1.26553859405327e-04 2.50995451964091e-04 
1.50000000000000e+01 9.87691821650547e-01 9.87566695267237e-01 1.26685652920994e-04 2.51513780579894e-04 
1.60000000000000e+01 1.12021197609413e+00 1.12006991987492e+00 1.26811909032131e-04 2.52010813968778e-04 
1.70000000000000e+01 1.26128181792117e+00 1.26112172113076e+00 1.26931815025331e-04 2.52483290524978e-04 
1.80000000000000e+01 1.41090134713166e+00 1.41072267063559e+00 1.26639964186941e-04 2.51334034156976e-04 
1.90000000000000e+01 1.56907056372561e+00 1.56887162537057e+00 1.26787385884959e-04 2.51914236351220e-04 
2.00000000000000e+01 1.73578946770302e+00 1.73556915671395e+00 1.26922644232712e-04 2.52447138090323e-04 
2.10000000000000e+01 1.91105805906389e+00 1.91081583636420e+00 1.26747954380177e-04 2.51758983534321e-04 
2.20000000000000e+01 2.09487633780821e+00 2.09461052112427e+00 1.26888961960343e-04 2.52314381045877e-04 
2.30000000000000e+01 2.28724430393599e+00 2.28695435416045e+00 1.26768170343732e-04 2.51838573540712e-04 
2.40000000000000e+01 2.48816195744723e+00 2.48784676382375e+00 1.26677293868508e-04 2.51480890869293e-04 
2.50000000000000e+01 2.69762929834192e+00 2.69728717874628e+00 1.26822316115844e-04 2.52051803792516e-04 
2.60000000000000e+01 2.91564632662007e+00 2.91527502597186e+00 1.27347629518026e-04 2.54125077364477e-04 
2.70000000000000e+01 3.14221304228167e+00 3.14181202088469e+00 1.27623872598394e-04 2.55218616130547e-04 
2.80000000000000e+01 3.37732944532674e+00 3.37689931048209e+00 1.27359457112847e-04 2.54171853258574e-04 
2.90000000000000e+01 3.62099553575526e+00 3.62053689127527e+00 1.26662536714047e-04 2.51422830015093e-04 
3.00000000000000e+01 3.87321131356724e+00 3.87271904616413e+00 1.27095415987514e-04 2.53128636511747e-04 
3.10000000000000e+01 4.13397677876267e+00 4.13345149283236e+00 1.27065525139824e-04 2.53010669926882e-04 
3.20000000000000e+01 4.40329193134156e+00 4.40273423104016e+00 1.26655309277107e-04 2.51394397420976e-04 
3.30000000000000e+01 4.68115677130391e+00 4.68056154415801e+00 1.27153858539394e-04 2.53359363087060e-04 
3.40000000000000e+01 4.96757129864971e+00 4.96693914867096e+00 1.27255340839338e-04 2.53760247373673e-04 
3.50000000000000e+01 5.26253551337897e+00 5.26186704624727e+00 1.27023775897502e-04 2.52845944844065e-04 
3.60000000000000e+01 5.56604941549169e+00 5.56534523376283e+00 1.26513740051063e-04 2.50837769858643e-04 
3.70000000000000e+01 5.87811300498787e+00 5.87736799809880e+00 1.26742525779130e-04 2.51737614890522e-04 
3.80000000000000e+01 6.19872628186750e+00 6.19794105301695e+00 1.26675838687475e-04 2.51475165631579e-04 
3.90000000000000e+01 6.52788924613059e+00 6.52706439765017e+00 1.26357609530202e-04 2.50224576686348e-04 
4.00000000000000e+01 6.86560189777713e+00 6.86473232155693e+00 1.26656953483616e-04 2.51400866144176e-04 
4.10000000000000e+01 7.21186423680714e+00 7.21095053522304e+00 1.26694229688191e-04 2.51547531256566e-04 
4.20000000000000e+01 7.56667626322060e+00 7.56571903928726e+00 1.26505205196909e-04 2.50804231250793e-04 
4.30000000000000e+01 7.93003797701751e+00 7.92903212103217e+00 1.26841257035379e-04 2.52126415450478e-04 
4.40000000000000e+01 8.30194937819788e+00 8.30089549293465e+00 1.26944313344032e-04 2.52532562922923e-04 
4.50000000000000e+01 8.68241046676172e+00 8.68130915661430e+00 1.26843824262098e-04 2.52136529056354e-04 
4.60000000000000e+01 9.07142124270900e+00 9.07027311068536e+00 1.26565837140834e-04 2.51042537622763e-04 
4.70000000000000e+01 9.46898170603975e+00 9.46778164204229e+00 1.26736330759806e-04 2.51713228073587e-04 
4.80000000000000e+01 9.87509185675395e+00 9.87384046401222e+00 1.26722136854976e-04 2.51657359274356e-04 
4.90000000000000e+01 1.02897516948516e+01 1.02884495764571e+01 1.26545171653835e-04 2.50961301853032e-04 
5.00000000000000e+01 1.07129612203327e+01 1.07116032666365e+01 1.26758014734385e-04 2.51798590124900e-04 
